,date,TO,R,hosp,rad,conf,conf_j1,dc_tot
147,2021-04-08,1.12791617240016,0.938283858871779,30555.0,305711.0,3073720.0,84999.0,98037.0
148,2021-04-09,1.13819691577699,0.949262303604055,30326.0,307674.0,3114963.0,41243.0,98367.0
149,2021-04-10,1.14056939501779,0.963230903179761,30238.0,309136.0,3158247.0,43284.0,98574.0
150,2021-04-11,1.15421115065243,0.975650776178541,30671.0,309787.0,3193142.0,34895.0,98750.0
151,2021-04-12,1.16963226571768,0.983318599039856,31262.0,310934.0,3201678.0,8536.0,99135.0
152,2021-04-13,1.1767497034401,0.984836463505501,31226.0,313051.0,3240791.0,39113.0,99480.0
153,2021-04-14,1.16686437327007,0.980450970855463,30868.0,315152.0,3284296.0,43505.0,99777.0
154,2021-04-15,1.17121391854488,0.971592161568116,30668.0,317036.0,3322341.0,38045.0,100073.0
155,2021-04-16,1.16923685251087,0.960374682570337,30472.0,318923.0,3358783.0,36442.0,100404.0
156,2021-04-17,1.16192170818505,0.948574060785533,30329.0,320275.0,3394644.0,35861.0,100593.0
157,2021-04-18,1.16508501383946,0.937356395532803,30789.0,320757.0,3423988.0,29344.0,100733.0
158,2021-04-19,1.18030842230131,0.927322366905321,31214.0,321889.0,3430684.0,6696.0,101180.0
159,2021-04-20,1.18307631474891,0.918559246773524,31086.0,323961.0,3473782.0,43098.0,101568.0
160,2021-04-21,1.1781336496639,0.910700685102053,30954.0,325811.0,3508750.0,34968.0,101881.0
161,2021-04-22,1.18248319493871,0.903210969339248,30634.0,327668.0,3543068.0,34318.0,102164.0
162,2021-04-23,1.1787267694741,0.895482845804622,30438.0,329405.0,3575408.0,32340.0,102496.0
163,2021-04-24,1.1779359430605,0.886847603537931,30100.0,330838.0,3608041.0,32633.0,102713.0
164,2021-04-25,1.18189007512851,0.876645333445976,30287.0,331362.0,3632506.0,24465.0,102858.0
165,2021-04-26,1.18643732700672,0.864514971602119,30596.0,332563.0,3638458.0,5952.0,103256.0
166,2021-04-27,1.17497034400949,0.850484539279158,30281.0,334577.0,3668775.0,30317.0,103603.0
167,2021-04-28,1.16231712139185,0.835025912506271,29911.0,336281.0,3700314.0,31539.0,103918.0
168,2021-04-29,1.14748912613681,0.819067754894738,29487.0,338000.0,3726852.0,26538.0,104224.0
169,2021-04-30,1.12198497429814,0.803904190010557,28930.0,339650.0,3751151.0,24299.0,104514.0
170,2021-05-01,1.10340055357849,0.790793100891639,28603.0,340997.0,3776821.0,25670.0,104706.0
171,2021-05-02,1.10419137999209,0.780770397368736,28818.0,341458.0,3786709.0,9888.0,104819.0
172,2021-05-03,1.11308817714512,0.774308672250464,28950.0,342451.0,3790469.0,3760.0,105130.0
173,2021-05-04,1.08817714511665,0.771190280237962,28427.0,344265.0,3814840.0,24371.0,105387.0
174,2021-05-05,1.06801107156979,0.770547986911331,27686.0,346184.0,3840840.0,26000.0,105631.0
175,2021-05-06,1.0342032423883,0.771203470016133,26985.0,347768.0,3862552.0,21712.0,105850.0
176,2021-05-07,1.00948991696323,0.771893962320709,26331.0,349293.0,3881676.0,19124.0,106101.0
177,2021-05-08,0.989521550019771,0.771823959657462,25800.0,350471.0,3902421.0,20745.0,106277.0
178,2021-05-09,0.982799525504152,0.770876513866447,25797.0,350873.0,3911549.0,9128.0,106392.0
179,2021-05-10,0.962831158560696,0.769603435962311,25666.0,351795.0,3914841.0,3292.0,106684.0
180,2021-05-11,0.937722419928826,0.768979556672414,25028.0,353370.0,3934632.0,19791.0,106935.0
181,2021-05-12,0.906089363384737,0.770212523737438,24254.0,354860.0,3956130.0,21498.0,107119.0
182,2021-05-13,0.878212732305259,0.774242041775158,23656.0,355927.0,3975591.0,19461.0,107250.0
183,2021-05-14,0.860419137999209,0.781548636225381,23406.0,356700.0,3982616.0,7025.0,107423.0
184,2021-05-15,0.844404903123764,0.792095525467843,22950.0,357613.0,3998301.0,15685.0,107535.0
185,2021-05-16,0.841241597469356,0.805269033217311,22963.0,357928.0,4012249.0,13948.0,107616.0
186,2021-05-17,0.827599841834717,0.819878138767626,22749.0,358776.0,4015599.0,3350.0,107812.0
187,2021-05-18,0.793792012653223,0.834485223542533,22058.0,360213.0,4032809.0,17210.0,108040.0
188,2021-05-19,0.763542902332938,0.847546181333212,21347.0,361460.0,4051859.0,19050.0,108181.0
189,2021-05-20,0.745156188216686,0.857461007804771,20750.0,362593.0,4067274.0,15415.0,108314.0
190,2021-05-21,0.71787267694741,0.862745608945321,20209.0,363600.0,4080074.0,12800.0,108437.0
191,2021-05-22,0.700672202451562,0.86260386237075,19765.0,364391.0,4092685.0,12611.0,108526.0
192,2021-05-23,0.694938710952946,0.857108318923173,19720.0,364695.0,4102389.0,9704.0,108596.0
193,2021-05-24,0.691182285488335,0.847227465382048,19701.0,364902.0,4104618.0,2229.0,108658.0
194,2021-05-25,0.681494661921708,0.834792616854696,19430.0,365739.0,4107773.0,3155.0,108879.0
195,2021-05-26,0.658362989323844,0.82226568689156,18593.0,367046.0,4120419.0,12646.0,109023.0
196,2021-05-27,0.633847370502175,0.811894748377054,17941.0,368023.0,4134352.0,13933.0,109165.0
197,2021-05-28,0.613681296955318,0.805328582691516,17272.0,369109.0,4145620.0,11268.0,109290.0
198,2021-05-29,0.598655595096876,0.802983200804442,16847.0,369789.0,4156295.0,10675.0,109358.0
199,2021-05-30,0.591735863977857,0.803814054640728,16775.0,370014.0,4164836.0,8541.0,109402.0
200,2021-05-31,0.58224594701463,0.805446740003123,16596.0,370577.0,4166047.0,1211.0,109528.0
201,2021-06-01,0.558521154606564,0.804982313056467,16088.0,371500.0,4175895.0,9848.0,109662.0
202,2021-06-02,0.544483985765125,0.799517667260353,15638.0,372310.0,4184638.0,8743.0,109758.0
203,2021-06-03,0.529260577303282,0.787230215203347,15283.0,373033.0,4192799.0,8161.0,109828.0
204,2021-06-04,0.508303677342823,0.767729331926736,14801.0,373818.0,4199752.0,6953.0,109916.0
205,2021-06-05,0.499209173586398,0.742071824167296,14532.0,374281.0,4206406.0,6654.0,109973.0
206,2021-06-06,0.499604586793199,0.712637667926454,14525.0,374416.0,4211476.0,5070.0,109998.0
207,2021-06-07,0.488730723606168,0.682391959083684,14323.0,374909.0,4212640.0,1164.0,110062.0
208,2021-06-08,0.473309608540925,0.653767675208955,13984.0,375569.0,4218658.0,6018.0,110137.0
209,2021-06-09,0.459865559509688,0.628398820848282,13526.0,376342.0,4224215.0,5557.0,110202.0
210,2021-06-10,0.443851324634243,0.607116593768859,13090.0,376974.0,4228690.0,4475.0,110270.0
211,2021-06-11,0.427639383155397,0.589955781831852,12712.0,377596.0,4232561.0,3871.0,110344.0
212,2021-06-12,0.417160933175168,0.576312944859899,12496.0,377961.0,4236533.0,3972.0,110378.0
213,2021-06-13,0.416370106761566,0.565066647461602,12480.0,378063.0,4239388.0,2855.0,110391.0
214,2021-06-14,0.408857255832345,0.555269811304282,12374.0,378429.0,4240077.0,689.0,110454.0
215,2021-06-15,0.385923289837881,0.546438793466452,11895.0,379108.0,4243312.0,3235.0,110534.0
216,2021-06-16,0.370304468169237,0.538631817375749,11519.0,379635.0,4246370.0,3058.0,110578.0
217,2021-06-17,0.355674179517596,0.53237043917809,11114.0,380195.0,4249156.0,2786.0,110634.0
218,2021-06-18,0.344009489916963,0.52857443749257,10738.0,380667.0,4251595.0,2439.0,110702.0
219,2021-06-19,0.336694345591143,0.528152462162654,10531.0,380930.0,4254219.0,2624.0,110724.0
220,2021-06-20,0.336694345591143,0.531797546049938,10518.0,380979.0,4256034.0,1815.0,110738.0
221,2021-06-21,0.327204428627916,0.53990571687231,10386.0,381278.0,4256521.0,487.0,110778.0
222,2021-06-22,0.308422301304864,0.552638327044529,10046.0,381726.0,4258725.0,2204.0,110829.0
223,2021-06-23,0.298339264531435,0.569963074575504,9771.0,382124.0,4261045.0,2320.0,110862.0
224,2021-06-24,0.284499802293397,0.591954250126643,9392.0,382593.0,4263052.0,2007.0,110906.0
225,2021-06-25,0.274614472123369,0.618935954255106,9190.0,382897.0,4265038.0,1986.0,110939.0
226,2021-06-26,0.266706207987347,0.651544237407509,9024.0,383122.0,4267166.0,2128.0,110951.0
227,2021-06-27,0.265915381573745,0.690754828411721,8986.0,383185.0,4268744.0,1578.0,110968.0
228,2021-06-28,0.257809410834322,0.737749838541671,8846.0,383447.0,4269253.0,509.0,111012.0
229,2021-06-29,0.247133254250692,0.793496177418138,8627.0,383768.0,4271567.0,2314.0,111057.0
230,2021-06-30,0.238038750494267,0.858456405186982,8451.0,384051.0,4274024.0,2457.0,111082.0
231,2021-07-01,0.229735073151443,0.932373180417854,8232.0,384338.0,4276688.0,2664.0,111111.0
232,2021-07-02,0.222024515618822,1.01392897508753,8044.0,384616.0,4279371.0,2683.0,111135.0
233,2021-07-03,0.21787267694741,1.09997356011375,7912.0,384781.0,4282377.0,3006.0,111152.0
234,2021-07-04,0.218268090154211,1.18556713143877,7913.0,384812.0,4284926.0,2549.0,111161.0
235,2021-07-05,0.212930011862396,1.26469911201681,7806.0,385013.0,4285722.0,796.0,111197.0
236,2021-07-06,0.204033214709371,1.33125662729046,7637.0,385289.0,4289307.0,3585.0,111231.0
237,2021-07-07,0.197113483590352,1.38078237624089,7539.0,385490.0,4293388.0,4081.0,111259.0
238,2021-07-08,0.191973111901938,1.41400051675448,7384.0,385720.0,4297830.0,4442.0,111284.0
239,2021-07-09,0.188414393040728,1.43660834709957,7275.0,385950.0,4302410.0,4580.0,111302.0
240,2021-07-10,0.187228153420324,1.45781692706754,7183.0,386122.0,4307106.0,4696.0,111321.0
241,2021-07-11,0.187228153420324,1.48837739203583,7183.0,386141.0,4311362.0,4256.0,111325.0
242,2021-07-12,0.18920521945433,1.53805592584164,7137.0,386424.0,4312622.0,1260.0,111353.0
243,2021-07-13,0.184460260972716,1.61152677123335,7076.0,386704.0,4319572.0,6950.0,111407.0
244,2021-07-14,0.184064847765915,1.70724657685708,7047.0,386839.0,4328447.0,8875.0,111413.0
245,2021-07-15,0.180703835508106,1.81650279983731,7054.0,387017.0,4332064.0,3617.0,111429.0
246,2021-07-16,0.177738236457098,1.92566578227578,6971.0,387297.0,4342972.0,10908.0,111451.0
247,2021-07-17,0.175958877026493,2.02002520885185,6922.0,387439.0,4353921.0,10949.0,111467.0
248,2021-07-18,0.176156583629893,2.08734350617616,6936.0,387469.0,4366453.0,12532.0,111472.0
249,2021-07-19,0.178331356267299,2.12007893586219,7041.0,387703.0,4370604.0,4151.0,111492.0
250,2021-07-20,0.173190984578885,2.11733277779997,6912.0,388118.0,4388785.0,18181.0,111525.0
251,2021-07-21,0.169829972321076,2.08318539973739,6869.0,388402.0,4410324.0,21539.0,111547.0
252,2021-07-22,0.171609331751681,2.02392565998396,6832.0,388707.0,4432233.0,21909.0,111558.0
253,2021-07-23,0.172400158165283,1.94620722996418,6802.0,389021.0,4451794.0,19561.0,111595.0
254,2021-07-24,0.173586397785686,1.85671416694886,6787.0,389197.0,4477418.0,25624.0,111617.0
255,2021-07-25,0.175168050612891,1.76132287626837,6843.0,389226.0,4492660.0,15242.0,111623.0
256,2021-07-26,0.188216686437327,1.66483231055483,7079.0,389531.0,4497967.0,5307.0,111668.0
257,2021-07-27,0.193357058125741,1.5708909847064,7137.0,389996.0,4524838.0,26871.0,111696.0
258,2021-07-28,0.196124950573349,1.48216248449358,7208.0,390367.0,4552772.0,27934.0,111740.0
259,2021-07-29,0.200672202451562,1.40064445162368,7236.0,390784.0,4577962.0,25190.0,111768.0
260,2021-07-30,0.211941478845393,1.32782418370053,7363.0,391216.0,4602271.0,24309.0,111831.0
261,2021-07-31,0.217279557137208,1.26441373541567,7409.0,391581.0,4625742.0,23471.0,111874.0
262,2021-08-01,0.224792408066429,1.21061013326869,7581.0,391689.0,4645342.0,19600.0,111892.0
263,2021-08-02,0.243574535389482,1.16633749334899,7840.0,392055.0,4650526.0,5184.0,111945.0
264,2021-08-03,0.263147489126137,1.13116971012125,7974.0,392634.0,4677355.0,26829.0,112004.0
265,2021-08-04,0.271055753262159,1.10440437214537,8134.0,393129.0,4706139.0,28784.0,112053.0
266,2021-08-05,0.280743376828786,1.08513251472276,8210.0,393723.0,4732599.0,26460.0,112105.0
267,2021-08-06,0.288256227758007,1.0722739872026,8368.0,394324.0,4757676.0,25077.0,112169.0
268,2021-08-07,0.298536971134836,1.06458986681293,8425.0,394709.0,4783431.0,25755.0,112201.0
269,2021-08-08,0.307631474891261,1.06067242848419,8685.0,394910.0,4803881.0,20450.0,112229.0
270,2021-08-09,0.329576907868723,1.05896312692599,9022.0,395310.0,4809656.0,5775.0,112304.0
271,2021-08-10,0.338473705021748,1.05800530491475,9153.0,396002.0,4838232.0,28576.0,112374.0
